"","edad","id_ent","sexo","casoT"
"214","45-64",18,1,63
"215","45-64",18,2,56
"216","45-64",19,1,277
"217","45-64",19,2,287
"218","45-64",20,1,222
"219","45-64",20,2,193
"220","45-64",21,1,346
"221","45-64",21,2,308
"222","45-64",22,1,119
"223","45-64",22,2,74
"224","45-64",23,1,237
"225","45-64",23,2,170
"226","45-64",24,1,221
"227","45-64",24,2,211
"228","45-64",25,1,174
"229","45-64",25,2,199
"230","45-64",26,1,200
"231","45-64",26,2,170
"232","45-64",27,1,298
"233","45-64",27,2,362
"234","45-64",28,1,282
"235","45-64",28,2,284
"236","45-64",29,1,92
"237","45-64",29,2,106
"238","45-64",30,1,557
"239","45-64",30,2,652
"240","45-64",31,1,194
"241","45-64",31,2,169
"242","45-64",32,1,104
"243","45-64",32,2,122
"244","65+",1,1,581
"245","65+",1,2,522
"246","65+",2,1,1436
"247","65+",2,2,1086
"248","65+",3,1,451
"249","65+",3,2,387
"250","65+",4,1,735
"251","65+",4,2,766
"252","65+",5,1,3021
"253","65+",5,2,3188
"254","65+",6,1,469
"255","65+",6,2,327
"256","65+",7,1,1672
"257","65+",7,2,2556
"258","65+",7,9,1
"259","65+",8,1,2225
"260","65+",8,2,2479
"261","65+",8,9,1
"262","65+",9,1,7072
"263","65+",9,2,5498
"264","65+",10,1,1273
"265","65+",10,2,1363
"266","65+",11,1,3079
"267","65+",11,2,3167
"268","65+",12,1,1906
"269","65+",12,2,1720
"270","65+",13,1,1253
"271","65+",13,2,1243
"272","65+",14,1,4801
"273","65+",14,2,3839
"274","65+",15,1,5306
"275","65+",15,2,4703
"276","65+",16,1,2704
"277","65+",16,2,2826
"278","65+",17,1,1045
"279","65+",17,2,932
"280","65+",18,1,621
"281","65+",18,2,546
"282","65+",19,1,2410
"283","65+",19,2,1908
"284","65+",20,1,1517
"285","65+",20,2,1723
"286","65+",21,1,2667
"287","65+",21,2,2877
"288","65+",22,1,620
"289","65+",22,2,448
"290","65+",23,1,1170
"291","65+",23,2,1156
"292","65+",24,1,1736
"293","65+",24,2,1757
"294","65+",25,1,1638
"295","65+",25,2,1741
"296","65+",26,1,1560
"297","65+",26,2,1475
"298","65+",27,1,1662
"299","65+",27,2,2003
"300","65+",28,1,2420
"301","65+",28,2,2335
"302","65+",29,1,919
"303","65+",29,2,882
"304","65+",30,1,4688
"305","65+",30,2,5588
"306","65+",31,1,1470
"307","65+",31,2,1749
"308","65+",32,1,816
"309","65+",32,2,886
